time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
2.698613281250000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.646095e-01	6.645520e-01
2.990605468749999e-08	1.347165e+00	6.734798e-01	1.347165e+00	1.347165e+00	6.646000e-01	6.645511e-01
3.000000000000000e-08	1.347165e+00	6.734798e-01	1.347165e+00	1.347165e+00	6.645999e-01	6.645511e-01
3.000331879989357e-08	1.347165e+00	6.734798e-01	1.347165e+00	1.347165e+00	6.645999e-01	6.645511e-01
3.000995639968070e-08	1.347165e+00	6.734798e-01	1.347165e+00	1.347165e+00	6.645998e-01	6.645511e-01
3.002323159925495e-08	1.347166e+00	6.734798e-01	1.347166e+00	1.347165e+00	6.645998e-01	6.645511e-01
3.004978199840346e-08	1.347169e+00	6.734798e-01	1.347169e+00	1.347165e+00	6.646000e-01	6.645511e-01
3.010288279670048e-08	1.347180e+00	6.734798e-01	1.347180e+00	1.347165e+00	6.646007e-01	6.645519e-01
3.020908439329452e-08	1.347220e+00	6.734798e-01	1.347220e+00	1.347165e+00	6.646047e-01	6.645558e-01
3.039660527292674e-08	1.347332e+00	6.734798e-01	1.347332e+00	1.347165e+00	6.646183e-01	6.645690e-01
3.050000000000000e-08	1.347412e+00	6.734798e-01	1.347412e+00	1.347165e+00	6.646292e-01	6.645798e-01
3.056738281250000e-08	1.347473e+00	6.734798e-01	1.347473e+00	1.347165e+00	6.646402e-01	6.645907e-01
3.065722656250000e-08	1.347553e+00	6.734798e-01	1.347553e+00	1.347165e+00	6.646572e-01	6.646074e-01
3.083691406250000e-08	1.347407e+00	6.734798e-01	1.347406e+00	1.347165e+00	6.647192e-01	6.646684e-01
3.106152343750000e-08	1.341103e+00	6.734798e-01	1.341099e+00	1.347165e+00	6.653396e-01	6.652761e-01
3.128613281250001e-08	1.311262e+00	6.734798e-01	1.311249e+00	1.347165e+00	6.684083e-01	6.682850e-01
