time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
2.676152343750000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.381901e-07	6.645836e-01	6.644845e-01
2.698613281250000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.393869e-07	6.646095e-01	6.645520e-01
2.990605468749999e-08	1.347165e+00	6.734798e-01	1.347165e+00	1.548269e-07	6.646000e-01	6.645511e-01
3.000000000000000e-08	1.347165e+00	6.734798e-01	1.347165e+00	1.553222e-07	6.645999e-01	6.645511e-01
3.000331879989357e-08	1.347165e+00	6.734798e-01	1.347165e+00	1.553397e-07	6.645999e-01	6.645511e-01
3.000995639968070e-08	1.347165e+00	6.734798e-01	1.347165e+00	1.553747e-07	6.645998e-01	6.645511e-01
3.002323159925495e-08	1.347166e+00	6.734798e-01	1.347166e+00	1.554446e-07	6.645998e-01	6.645511e-01
3.004978199840346e-08	1.347169e+00	6.734798e-01	1.347169e+00	1.555846e-07	6.646000e-01	6.645511e-01
3.010288279670048e-08	1.347180e+00	6.734798e-01	1.347180e+00	1.558645e-07	6.646007e-01	6.645519e-01
3.020908439329452e-08	1.347220e+00	6.734798e-01	1.347220e+00	1.564243e-07	6.646047e-01	6.645558e-01
3.039660527292636e-08	1.347332e+00	6.734798e-01	1.347332e+00	1.574127e-07	6.646183e-01	6.645690e-01
3.050000000000000e-08	1.347412e+00	6.734798e-01	1.347412e+00	1.579578e-07	6.646292e-01	6.645797e-01
3.056738281250000e-08	1.347473e+00	6.734798e-01	1.347473e+00	1.583130e-07	6.646402e-01	6.645907e-01
3.065722656250000e-08	1.347553e+00	6.734798e-01	1.347553e+00	1.587866e-07	6.646572e-01	6.646074e-01
3.083691406250000e-08	1.347407e+00	6.734798e-01	1.347406e+00	1.597345e-07	6.647192e-01	6.646684e-01
3.106152343750000e-08	1.341103e+00	6.734798e-01	1.341099e+00	1.609333e-07	6.653396e-01	6.652761e-01
3.128613281250001e-08	1.311262e+00	6.734798e-01	1.311249e+00	1.621837e-07	6.684083e-01	6.682850e-01
3.151074218750001e-08	1.238748e+00	6.734798e-01	1.238713e+00	1.635208e-07	6.768346e-01	6.765708e-01
3.173535156250001e-08	1.124788e+00	6.734798e-01	1.124721e+00	1.649295e-07	6.918885e-01	6.914259e-01
3.195996093750001e-08	9.909090e-01	6.734798e-01	9.908011e-01	1.663595e-07	7.114515e-01	7.107896e-01
3.200000000000000e-08	9.671224e-01	6.734797e-01	9.670063e-01	1.666111e-07	7.152323e-01	7.145419e-01
3.201091629633411e-08	9.611461e-01	6.734797e-01	9.610275e-01	1.666783e-07	7.182839e-01	7.175155e-01
3.203274888900232e-08	9.495341e-01	6.734797e-01	9.494104e-01	1.668123e-07	7.238569e-01	7.229666e-01
3.207641407433874e-08	9.280235e-01	6.734797e-01	9.278886e-01	1.670778e-07	7.330406e-01	7.320160e-01
3.216374444501157e-08	8.918868e-01	6.734797e-01	8.917251e-01	1.675970e-07	7.473322e-01	7.462271e-01
3.233840518635724e-08	8.375497e-01	6.734797e-01	8.373283e-01	1.685863e-07	7.460903e-01	7.452850e-01
3.250000000000000e-08	8.008171e-01	6.734797e-01	8.005406e-01	1.694437e-07	6.951129e-01	6.951840e-01
3.251826886846587e-08	7.982845e-01	6.734797e-01	7.980037e-01	1.695266e-07	6.872073e-01	6.872588e-01
3.255480660539762e-08	7.935050e-01	6.734797e-01	7.932173e-01	1.696919e-07	6.803011e-01	6.803148e-01
3.262788207926110e-08	7.849826e-01	6.734797e-01	7.846859e-01	1.700228e-07	6.784558e-01	6.784483e-01
3.272863493688204e-08	7.750624e-01	6.734797e-01	7.747615e-01	1.704828e-07	6.784875e-01	6.784827e-01
3.286509842499918e-08	7.644075e-01	6.734797e-01	7.641115e-01	1.711158e-07	6.782034e-01	6.781986e-01
3.308970779999918e-08	7.509159e-01	6.734797e-01	7.506409e-01	1.721800e-07	6.778960e-01	6.778920e-01
3.331431717499919e-08	7.404709e-01	6.734797e-01	7.402228e-01	1.732703e-07	6.775715e-01	6.775679e-01
3.353892654999919e-08	7.321746e-01	6.734797e-01	7.319543e-01	1.743867e-07	6.772833e-01	6.772802e-01
3.376353592499919e-08	7.252292e-01	6.734797e-01	7.250350e-01	1.755255e-07	6.770179e-01	6.770152e-01
3.398814529999919e-08	7.190754e-01	6.734797e-01	7.189052e-01	1.766789e-07	6.767156e-01	6.767157e-01
3.400000000000000e-08	7.187742e-01	6.734797e-01	7.186052e-01	1.767402e-07	6.767350e-01	6.767313e-01
3.400097835661940e-08	7.187504e-01	6.734797e-01	7.185814e-01	1.812416e-07	6.767365e-01	6.767330e-01
3.400293506985820e-08	7.187027e-01	6.734797e-01	7.185339e-01	2.003438e-07	6.767390e-01	6.767356e-01
3.400684849633580e-08	7.186074e-01	6.734798e-01	7.184390e-01	2.878047e-07	6.767418e-01	6.767389e-01
3.401467534929100e-08	7.184178e-01	6.734800e-01	7.182502e-01	6.632379e-07	6.767426e-01	6.767399e-01
3.403032905520140e-08	7.180419e-01	6.734811e-01	7.178758e-01	2.209722e-06	6.767348e-01	6.767324e-01
3.406163646702219e-08	7.173027e-01	6.734852e-01	7.171395e-01	8.458319e-06	6.767089e-01	6.767067e-01
3.412425129066378e-08	7.158734e-01	6.735014e-01	7.157159e-01	3.365954e-05	6.766527e-01	6.766505e-01
3.424948093794695e-08	7.131824e-01	6.735629e-01	7.130353e-01	1.390855e-04	6.765454e-01	6.765433e-01
3.445631021240817e-08	7.090118e-01	6.737158e-01	7.088795e-01	4.371957e-04	6.763787e-01	6.763768e-01
3.450000000000000e-08	7.081783e-01	6.737590e-01	7.080485e-01	5.431379e-04	6.763454e-01	6.763434e-01
3.450386008733716e-08	7.081079e-01	6.737637e-01	7.079781e-01	5.616843e-04	6.735948e-01	6.736261e-01
3.451158026201147e-08	7.079667e-01	6.737733e-01	7.078370e-01	6.061386e-04	6.691313e-01	6.691895e-01
3.452702061136008e-08	7.076804e-01	6.737927e-01	7.075500e-01	7.539715e-04	6.631297e-01	6.631838e-01
3.455790131005731e-08	7.070866e-01	6.738330e-01	7.069445e-01	1.561592e-03	6.577854e-01	6.577711e-01
3.461675439550965e-08	7.058978e-01	6.739130e-01	7.056661e-01	5.582255e-03	6.577455e-01	6.574814e-01
3.468168067327946e-08	7.045282e-01	6.740036e-01	7.039737e-01	1.564802e-02	6.590745e-01	6.583358e-01
3.476934085047061e-08	7.026335e-01	6.741254e-01	7.009931e-01	4.051637e-02	6.593940e-01	6.571638e-01
3.487512037285611e-08	7.003639e-01	6.742761e-01	6.961231e-01	8.568708e-02	6.615795e-01	6.557727e-01
3.500000000000000e-08	6.977476e-01	6.744672e-01	6.890322e-01	1.520786e-01	6.659338e-01	6.541311e-01
3.502115590447710e-08	6.973436e-01	6.745250e-01	6.875106e-01	1.656712e-01	6.697099e-01	6.564112e-01
3.506346771343130e-08	6.965820e-01	6.747262e-01	6.843513e-01	1.933688e-01	6.755346e-01	6.591740e-01
3.514809133133971e-08	6.952851e-01	6.755852e-01	6.776667e-01	2.489354e-01	6.819861e-01	6.592233e-01
3.531733856715651e-08	6.933349e-01	6.783357e-01	6.640051e-01	3.515516e-01	6.866305e-01	6.509393e-01
3.554194794215651e-08	6.915781e-01	6.823909e-01	6.471311e-01	4.606256e-01	6.878514e-01	6.366978e-01
3.576655731715651e-08	6.904642e-01	6.856349e-01	6.334401e-01	5.336145e-01	6.879766e-01	6.250993e-01
3.599116669215651e-08	6.897824e-01	6.875903e-01	6.238953e-01	5.746495e-01	6.882338e-01	6.180063e-01
3.621577606715652e-08	6.893913e-01	6.885686e-01	6.180425e-01	5.951984e-01	6.885388e-01	6.143619e-01
3.644038544215652e-08	6.891974e-01	6.890072e-01	6.148044e-01	6.047055e-01	6.887796e-01	6.127151e-01
3.666499481715652e-08	6.891236e-01	6.891918e-01	6.131556e-01	6.088765e-01	6.889423e-01	6.120513e-01
3.688960419215653e-08	6.891115e-01	6.892731e-01	6.123323e-01	6.107434e-01	6.890516e-01	6.118032e-01
3.700000000000000e-08	6.891185e-01	6.892948e-01	6.121073e-01	6.112251e-01	6.890920e-01	6.117559e-01
3.700050000000000e-08	6.891186e-01	6.892948e-01	6.121067e-01	6.112264e-01	6.891100e-01	6.118306e-01
3.700150000000000e-08	6.891187e-01	6.892949e-01	6.121055e-01	6.112289e-01	6.891855e-01	6.121234e-01
3.700350000000000e-08	6.891189e-01	6.892952e-01	6.121031e-01	6.112340e-01	6.895915e-01	6.136552e-01
3.700500000000000e-08	6.891191e-01	6.892954e-01	6.121013e-01	6.112378e-01	6.902008e-01	6.159574e-01
3.700521156149471e-08	6.891191e-01	6.892954e-01	6.121011e-01	6.112383e-01	6.902801e-01	6.161881e-01
3.700563468448412e-08	6.891192e-01	6.892955e-01	6.121005e-01	6.112394e-01	6.904013e-01	6.164513e-01
3.700648093046296e-08	6.891193e-01	6.892956e-01	6.120996e-01	6.112415e-01	6.905085e-01	6.163508e-01
3.700778598901222e-08	6.891195e-01	6.892958e-01	6.120981e-01	6.112448e-01	6.904660e-01	6.153814e-01
3.700923578970682e-08	6.891196e-01	6.892959e-01	6.120964e-01	6.112485e-01	6.902401e-01	6.138305e-01
3.701126843588327e-08	6.891199e-01	6.892962e-01	6.120942e-01	6.112536e-01	6.897503e-01	6.115543e-01
3.701416389513626e-08	6.891203e-01	6.892967e-01	6.120909e-01	6.112608e-01	6.888934e-01	6.087758e-01
3.701995481364226e-08	6.891210e-01	6.892973e-01	6.120840e-01	6.112744e-01	6.868873e-01	6.046908e-01
3.703153665065424e-08	6.891208e-01	6.892971e-01	6.120680e-01	6.112979e-01	6.820948e-01	5.996492e-01
3.705000000000000e-08	6.891176e-01	6.892939e-01	6.120381e-01	6.113295e-01	6.734042e-01	5.953360e-01
3.705197305344039e-08	6.891164e-01	6.892928e-01	6.120341e-01	6.113317e-01	6.724457e-01	5.959237e-01
3.705591916032116e-08	6.891136e-01	6.892901e-01	6.120256e-01	6.113356e-01	6.706067e-01	5.971447e-01
3.706381137408271e-08	6.891062e-01	6.892829e-01	6.120079e-01	6.113421e-01	6.671094e-01	5.992791e-01
3.707152384988080e-08	6.890959e-01	6.892728e-01	6.119893e-01	6.113465e-01	6.639034e-01	6.006636e-01
3.708373486328956e-08	6.890700e-01	6.892478e-01	6.119576e-01	6.113496e-01	6.594142e-01	6.015997e-01
3.710815689010706e-08	6.889843e-01	6.891647e-01	6.118885e-01	6.113451e-01	6.524991e-01	6.016808e-01
3.714733647612592e-08	6.887463e-01	6.889334e-01	6.117610e-01	6.113085e-01	6.471187e-01	6.004165e-01
3.722569564816364e-08	6.880101e-01	6.882129e-01	6.114354e-01	6.111260e-01	6.489035e-01	5.971223e-01
3.737556622972019e-08	6.863583e-01	6.865797e-01	6.105720e-01	6.104514e-01	6.641250e-01	5.904522e-01
3.756498146104719e-08	6.847379e-01	6.849493e-01	6.089954e-01	6.090141e-01	6.833885e-01	5.809797e-01
3.778959083604719e-08	6.842373e-01	6.844001e-01	6.063434e-01	6.064410e-01	7.030524e-01	5.685967e-01
3.801420021104720e-08	6.855639e-01	6.856648e-01	6.027884e-01	6.029162e-01	7.221787e-01	5.560440e-01
3.823880958604720e-08	6.887358e-01	6.887810e-01	5.983136e-01	5.984470e-01	7.417467e-01	5.434716e-01
3.846341896104720e-08	6.936179e-01	6.936209e-01	5.929818e-01	5.931094e-01	7.617496e-01	5.306380e-01
3.868802833604720e-08	7.000766e-01	7.000503e-01	5.868571e-01	5.869739e-01	7.821689e-01	5.174861e-01
3.891263771104721e-08	7.079869e-01	7.079418e-01	5.799915e-01	5.800955e-01	8.028962e-01	5.039454e-01
3.913724708604721e-08	7.172291e-01	7.171728e-01	5.724250e-01	5.725163e-01	8.238099e-01	4.899888e-01
3.936185646104721e-08	7.276845e-01	7.276225e-01	5.641901e-01	5.642692e-01	8.447728e-01	4.756187e-01
3.958646583604722e-08	7.392335e-01	7.391695e-01	5.553153e-01	5.553832e-01	8.656336e-01	4.608937e-01
3.981107521104722e-08	7.517537e-01	7.516904e-01	5.458314e-01	5.458893e-01	8.862132e-01	4.459653e-01
4.003568458604722e-08	7.651162e-01	7.650554e-01	5.357814e-01	5.358304e-01	9.062158e-01	4.311893e-01
4.026029396104722e-08	7.791775e-01	7.791203e-01	5.252362e-01	5.252775e-01	9.251786e-01	4.171509e-01
4.048490333604723e-08	7.937701e-01	7.937173e-01	5.143086e-01	5.143430e-01	9.426661e-01	4.043778e-01
4.070951271104723e-08	8.087071e-01	8.086591e-01	5.031465e-01	5.031749e-01	9.585899e-01	3.929809e-01
4.093412208604723e-08	8.238039e-01	8.237610e-01	4.919046e-01	4.919278e-01	9.731961e-01	3.827046e-01
4.115873146104723e-08	8.389038e-01	8.388660e-01	4.807127e-01	4.807315e-01	9.867967e-01	3.732209e-01
4.138334083604724e-08	8.538899e-01	8.538570e-01	4.696616e-01	4.696767e-01	9.996232e-01	3.642837e-01
4.160795021104724e-08	8.686816e-01	8.686531e-01	4.588066e-01	4.588186e-01	1.011839e+00	3.557332e-01
4.183255958604724e-08	8.832263e-01	8.832019e-01	4.481770e-01	4.481865e-01	1.023564e+00	3.474685e-01
4.205716896104725e-08	8.974918e-01	8.974710e-01	4.377852e-01	4.377928e-01	1.034881e+00	3.394283e-01
4.228177833604725e-08	9.114597e-01	9.114420e-01	4.276339e-01	4.276398e-01	1.045836e+00	3.315788e-01
4.250638771104725e-08	9.251202e-01	9.251052e-01	4.177201e-01	4.177248e-01	1.056452e+00	3.239028e-01
4.273099708604725e-08	9.384685e-01	9.384557e-01	4.080384e-01	4.080421e-01	1.066740e+00	3.163926e-01
4.295560646104726e-08	9.515022e-01	9.514915e-01	3.985825e-01	3.985853e-01	1.076706e+00	3.090447e-01
4.318021583604726e-08	9.642206e-01	9.642116e-01	3.893459e-01	3.893482e-01	1.086355e+00	3.018573e-01
4.340482521104726e-08	9.766237e-01	9.766160e-01	3.803228e-01	3.803245e-01	1.095693e+00	2.948290e-01
4.362943458604727e-08	9.887119e-01	9.887055e-01	3.715073e-01	3.715087e-01	1.104725e+00	2.879578e-01
4.385404396104727e-08	1.000487e+00	1.000481e+00	3.628945e-01	3.628956e-01	1.113459e+00	2.812417e-01
4.407865333604727e-08	1.011949e+00	1.011945e+00	3.544793e-01	3.544801e-01	1.121901e+00	2.746782e-01
4.430326271104727e-08	1.023103e+00	1.023099e+00	3.462571e-01	3.462578e-01	1.130059e+00	2.682646e-01
4.452787208604728e-08	1.033949e+00	1.033946e+00	3.382235e-01	3.382240e-01	1.137942e+00	2.619979e-01
4.475248146104728e-08	1.044492e+00	1.044489e+00	3.303742e-01	3.303747e-01	1.145556e+00	2.558753e-01
4.497709083604728e-08	1.054735e+00	1.054733e+00	3.227052e-01	3.227055e-01	1.152910e+00	2.498939e-01
